index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
(1,),7.236618041898956,2.938695777803252,6.31725593980566,0.002437675402240639,3.600681417993396,1.962425073500053,5.763817588810025,0.5845669502075692,7.642180033362115,3.10450942551307,0.5421981072560786,2.286424048555693,1.33669606639853,7.170360720342638,1.791426296719322,7.769809445192066,4.420921106963942,0.7054655411287095,0.644225996331464,7.559652798405279,5.60184281639855,5.927159314088525,5.240469000199903,4.509024336717786,7.235070227630626,3.687994653341919,4.444126418441528,0.1322909009917191,6.842904716032532,3.652500607628636,2.270431509654199,4.408431911408202,1.897671585318161,0.7650788875583406,2.434753825466809,5.545356997966159,3.691289464852485,3.865803357136176,4.067798334357818,5.01308451862262,1.329390350239949,7.249877312562756,3.439667951323166,0.04554956911048672,4.073650381577661,7.460382978727938,5.630495881565618,0.9375780290260419,7.478631141713985,4.917988372545241
(2,),4.836463835924608,2.555985192301422,0.9479511668499125,6.905197313414767,2.51491378551513,5.781414971205245,1.857846766109655,3.48333390699473,0.7439729983012232,2.28646770064706,2.359023921691201,3.173878236585921,1.406451142344267,2.213572834967631,6.937452904028572,5.284990100838115,6.604780227184849,2.631209839623379,1.548144417408797,2.711886707644096,0.4018612272914167,4.967974388931104,2.070100144710091,7.208422628047416,3.29768126851095,7.488453665846258,4.639423662769258,6.517626544175622,4.151384308816489,7.798791117429059,4.814517575804627,5.253198779349735,7.660783657641518,6.980962002459048,5.097581492900342,7.709798230300062,5.926662925862336,4.790228309492184,1.664221883353488,1.07102831362175,5.449180279147789,3.644819999585042,5.621951661211539,4.629645510125265,7.739953087396496,6.272910402823911,4.199770465089515,4.501603418459719,3.995914640143285,0.5764317926999056
(3,),4.363966326420599,5.031986320161693,7.661262340494848,4.185647126405773,0.3818709597396818,1.002823576734008,0.258890681923161,5.142508914027323,1.65377346021332,1.608404102557918,1.994512331660512,7.707797132783761,3.724230816617697,4.346991485468411,6.831295814029124,6.864427506446347,7.183735326205528,7.377573880285255,2.257392546628297,3.550254667392768,1.802859038279679,4.417633390594069,3.012446625185168,2.39345226350633,2.568698113163756,4.631924928963918,3.588138629981656,2.980363161532637,3.090778020521765,4.43967307705973,7.491326442995519,2.731860732966682,0.8071506151060648,5.749256534482337,6.465274042953902,6.245226015003911,7.222329092123815,6.369736343183845,0.624585651432137,6.785334258677149,0.1292681706288143,5.128330373950712,1.186352754139553,3.214348508714528,6.999929466689267,4.432116641268431,4.797229943695179,2.448583212953358,5.090642237618818,2.157639418209129
(4,),1.778355746311985,7.205190381978502,1.278227553602521,7.175834588383373,6.570695918765792,6.303023221218704,7.926976995180668,0.9499037999459252,5.083189540018262,3.920588702712771,4.693248465976767,6.722839477496322,2.127773837712089,1.077192713443579,4.138632484653008,2.058291615058487,5.904881511867153,6.96120073397195,6.09527091375258,0.9609130537133761,0.7356871468188593,2.602348522303366,1.643844241532946,7.652547510668314,5.876991734281762,0.2835321282455431,2.205686616387897,1.172612388652527,7.908022849884706,4.830534124579557,6.250899745480132,4.11400860779598,6.997204331225921,2.201481437918022,5.93818244968686,0.9729701419925618,1.906282550372802,4.919972226879825,6.273770650841662,7.678455228448806,3.238260949839738,1.109411721206569,1.354725610512472,2.851096233766567,7.470652945462912,3.68327531881626,4.667388790556507,7.159616700385041,4.842188181630825,0.8743947368822911
(5,),4.671098114881103,7.984478967330093,2.032398034398545,1.216922905457781,6.946808247683506,3.633460551697216,1.952159327804832,6.76561527856916,5.061339213288281,3.741813750202605,2.680288925124395,2.831238444194037,2.612446435381997,5.83039699379471,4.587828586822519,7.89071690906319,3.470541225462039,3.42761594900232,5.438712991765874,2.149754736924742,7.087128079361469,2.93974850100797,1.211164036831266,5.047058795573353,1.291093585855243,0.04259832642167705,5.495211602284553,0.6887000967808283,4.451662393005553,2.984930021353505,0.4569368878909537,0.6546648414345084,5.302778028910481,5.153822530304534,7.384360669268994,3.309145886282592,5.602898926893882,1.375670980335472,6.377759697002356,7.741838711443311,4.161402930970767,6.074071387248576,1.188272799824508,1.905555569909376,7.798732019218832,5.349218510721475,4.300072100071679,2.159552095251401,4.107156133515917,7.006807746408071
(6,),3.489183802203856,3.786300833183252,4.199221779192709,5.852805129173412,5.440172423583669,3.698255213090382,0.3644804647678184,1.244487271963795,6.475471560836867,4.583413581207772,2.760209316256031,3.334876289226671,5.462880791675495,2.398328321332628,2.340379907346628,2.178964723344273,3.756256308156887,7.211980358830788,6.117355166896921,1.012971322366203,4.859930131456631,5.647459461258597,7.020900133987689,5.917404394924561,2.169422762256096,1.619424158204152,6.229504580034958,1.540045768187215,1.085258303895525,4.712228228586819,7.102067753901234,7.419074074940647,0.199252217167155,3.698532101476236,1.540575996647305,5.011033057703544,3.588016786204753,4.659331062216507,3.107558593482759,1.894681873548855,4.73153250823394,0.4185436708686828,4.033635161887333,4.551696938297751,1.587926688772709,2.354498166459453,5.199429983367609,7.339605793890312,3.019618176662699,7.196170573526946
(7,),3.757142158506098,3.967059531449997,0.561445527247095,5.196439205849484,7.41845193083739,7.061961019092605,0.2760312216303245,1.765955263611151,0.05688977783085371,1.313757110410017,7.722001835921289,7.157735808509459,5.119790548425159,1.076494245831618,1.369201929706902,1.656055384852365,7.674146170546591,5.119595918159833,3.284292885578436,1.908727204570015,0.003702585202758942,4.101910326054911,7.860047859790506,6.212479824554027,4.18919401620951,0.08362939507928675,4.14457736146893,1.977181260076073,6.974027739613113,6.728308770708561,7.876574669638718,7.580293323987032,2.131376651032459,3.348721387789641,6.173399202637234,1.229844883510764,6.337350253553303,2.656356717293423,3.967852751987802,1.356238265045276,5.279235450846442,5.603200061774519,2.005817589822308,4.037214646742727,4.092926596411259,5.227041067470699,7.094033909421786,0.3147968379631069,6.567060115001444,0.02404614905601581
(8,),4.661812993324387,5.690277584298932,0.658578604996905,3.616377512770355,0.5458887408229878,3.00793004639806,7.046110108614988,1.483530352919926,3.999297193664049,0.9543262117146923,4.903504341205641,4.43028308368408,6.544306543834642,4.202341088491918,7.668750119222175,1.955271254283635,7.506870136659098,5.465420555452932,2.491923910310116,4.894470799582364,3.567546855235162,1.00027812040619,4.055267443528054,4.24378929968251,4.395916062236177,6.165877024352024,0.1374485921328354,0.520193901754119,1.545971429646539,5.271175180148196,4.482811493473953,3.348142033249947,4.078701269970338,3.547249777863947,2.56398993113607,7.820319049537503,3.170802070838568,1.370094466867694,5.403576201979386,0.4816581781339385,7.71615510316773,1.242179364422428,4.951202411445807,4.196729879193451,0.6187672142948636,2.769359518823801,0.2010787611027204,5.860508497952989,0.5765510900370071,7.214575898990302
(9,),6.588059231851318,3.28961356290696,1.445611753070019,2.30088550714583,0.1745474928955159,0.2705498405769763,7.450984993816895,0.07386669648485633,1.949121480265428,1.992064113247173,5.041522436541966,6.453628712938293,3.641524851067387,2.767177521836473,6.076891791577158,4.240867556216597,6.933379180957333,0.8665412187195431,1.362877901194574,2.983752898784469,3.776814960446408,3.894493885508496,0.3966867268643102,4.514653530971598,7.853084354897549,5.282408384765409,2.754034921983607,7.485998865851083,1.396146103215045,3.198179401744011,0.2324661681813955,0.5944175973940617,3.350413104969896,2.238192599419226,1.763140877039641,1.836124806166021,2.454364081013341,2.219389739940999,1.704473856833272,1.384139023209427,4.384983010370394,4.218021359705421,3.565542341944191,5.274808602739792,0.3152270078532404,3.373758050398154,7.926623800000688,2.79356514820318,7.585689466149684,7.01680711146687
(10,),5.282678703496335,2.915160446515483,2.783248105650512,3.169432013875307,2.187221930040546,1.187957286746443,3.045793486974813,4.061600473623154,6.358119058474419,2.726546269391436,1.18855288759697,1.573466339902742,1.351142443854727,2.103096022041921,5.563475476377372,6.07215988428232,4.67361738566412,7.26029847648855,0.3937093911561086,6.741857795510316,2.50175078443435,2.57268411893585,1.53129642702452,7.728555082321524,4.607970354309611,3.082659682790181,6.174951705075158,1.454087306290625,2.796426510385632,7.276235593559698,1.911398518968142,5.755475370626461,5.726935410626443,0.08787154725774236,2.581367322713611,5.284564639184075,3.949539931875161,0.9990873827913237,6.037938023759878,5.071591771831734,1.713208675029872,7.676217668622344,3.930084051346055,4.316597524247879,4.938031543739516,6.408468660324949,7.593601884506872,6.105833018663211,0.1267027470822931,7.83936847155141
