index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
5,1.0,NaN,NaN,NaN,490.1868,-490.1868,451.5355,-451.5355,269.2746,-269.2746,112.949,-112.949,23.4797,-23.4797,-12.16448,12.16448,-18.23011,18.23011,-13.15322,13.15322,-6.661885,6.661885,-2.201331,2.201331,-0.03461098,0.03461098,0.6267259,-0.6267259,0.5876633,-0.5876633,0.3538179,-0.3538179,0.1500986,-0.1500986,0.03240718,-0.03240718,-0.01505212,0.01505212,-0.02355475,0.02355475,-0.01718629,0.01718629,-0.008780991,0.008780991,-0.002963751,0.002963751,-0.0001650818,0.0001650818,0.0006001939,-0.0006001939,0.0003961082,-0.0003961082,15.31834,-15.31834,-16.52619,16.52619,-4.487797,4.487797,0.8104769,-0.8104769,2.089258,-2.089258,1.682036,-1.682036,0.9243297,-0.9243297,0.348204,-0.348204,0.04420125,-0.04420125,-0.06346188,0.06346188,-0.07168231,0.07168231,-0.04704322,0.04704322,-0.02188749,0.02188749,-0.006086963,0.006086963,0.0009414429,-0.0009414429,0.002688369,-0.002688369,0.002194755,-0.002194755,0.001217396,-0.001217396,0.0004647214,-0.0004647214,6.365138e-5,-6.365138e-5,-8.087691e-5,8.087691e-5,-9.433035e-5,9.433035e-5,-6.354354e-5,6.354354e-5,-3.029254e-5,3.029254e-5,-6.000704e-6,6.000704e-6,1.237838e-5,-1.237838e-5
6,NaN,1.0,NaN,NaN,-490.1868,490.1868,-451.5355,451.5355,-269.2746,269.2746,-112.949,112.949,-23.4797,23.4797,12.16448,-12.16448,18.23011,-18.23011,13.15322,-13.15322,6.661885,-6.661885,2.201331,-2.201331,0.03461098,-0.03461098,-0.6267259,0.6267259,-0.5876633,0.5876633,-0.3538179,0.3538179,-0.1500986,0.1500986,-0.03240718,0.03240718,0.01505212,-0.01505212,0.02355475,-0.02355475,0.01718629,-0.01718629,0.008780991,-0.008780991,0.002963751,-0.002963751,0.0001650818,-0.0001650818,-0.0006001939,0.0006001939,-0.0003961082,0.0003961082,-15.31834,15.31834,16.52619,-16.52619,4.487797,-4.487797,-0.8104769,0.8104769,-2.089258,2.089258,-1.682036,1.682036,-0.9243297,0.9243297,-0.348204,0.348204,-0.04420125,0.04420125,0.06346188,-0.06346188,0.07168231,-0.07168231,0.04704322,-0.04704322,0.02188749,-0.02188749,0.006086963,-0.006086963,-0.0009414429,0.0009414429,-0.002688369,0.002688369,-0.002194755,0.002194755,-0.001217396,0.001217396,-0.0004647214,0.0004647214,-6.365138e-5,6.365138e-5,8.087691e-5,-8.087691e-5,9.433035e-5,-9.433035e-5,6.354354e-5,-6.354354e-5,3.029254e-5,-3.029254e-5,6.000704e-6,-6.000704e-6,-1.237838e-5,1.237838e-5
7,1.0,NaN,NaN,NaN,451.5355,-451.5355,906.1186,-906.1186,699.5777,-699.5777,373.3176,-373.3176,134.5774,-134.5774,12.2744,-12.2744,-28.95714,28.95714,-30.3462,30.3462,-19.28981,19.28981,-8.68964,8.68964,-2.233213,2.233213,0.5426972,-0.5426972,1.168051,-1.168051,0.9135821,-0.9135821,0.4920812,-0.4920812,0.1799523,-0.1799523,0.0185473,-0.0185473,-0.03673895,0.03673895,-0.03937117,0.03937117,-0.02526507,0.02526507,-0.01153002,0.01153002,-0.003207087,0.003207087,0.0001701923,-0.0001701923,0.0006001939,-0.0006001939,14.11048,-14.11048,0.0952396,-0.0952396,-20.66013,20.66013,-3.741226,3.741226,2.734996,-2.734996,3.638665,-3.638665,2.533482,-2.533482,1.245078,-1.245078,0.38892,-0.38892,-0.01425665,0.01425665,-0.129492,0.129492,-0.1150162,0.1150162,-0.06720487,0.06720487,-0.02749449,0.02749449,-0.005219735,0.005219735,0.003417871,-0.003417871,0.004710125,-0.004710125,0.00331621,-0.00331621,0.001645438,-0.001645438,0.0005230725,-0.0005230725,-1.159529e-5,1.159529e-5,-0.0001691285,0.0001691285,-0.0001545518,0.0001545518,-9.210244e-5,9.210244e-5,-3.219361e-5,3.219361e-5,1.875606e-5,-1.875606e-5
8,NaN,1.0,NaN,NaN,-451.5355,451.5355,-906.1186,906.1186,-699.5777,699.5777,-373.3176,373.3176,-134.5774,134.5774,-12.2744,12.2744,28.95714,-28.95714,30.3462,-30.3462,19.28981,-19.28981,8.68964,-8.68964,2.233213,-2.233213,-0.5426972,0.5426972,-1.168051,1.168051,-0.9135821,0.9135821,-0.4920812,0.4920812,-0.1799523,0.1799523,-0.0185473,0.0185473,0.03673895,-0.03673895,0.03937117,-0.03937117,0.02526507,-0.02526507,0.01153002,-0.01153002,0.003207087,-0.003207087,-0.0001701923,0.0001701923,-0.0006001939,0.0006001939,-14.11048,14.11048,-0.0952396,0.0952396,20.66013,-20.66013,3.741226,-3.741226,-2.734996,2.734996,-3.638665,3.638665,-2.533482,2.533482,-1.245078,1.245078,-0.38892,0.38892,0.01425665,-0.01425665,0.129492,-0.129492,0.1150162,-0.1150162,0.06720487,-0.06720487,0.02749449,-0.02749449,0.005219735,-0.005219735,-0.003417871,0.003417871,-0.004710125,0.004710125,-0.00331621,0.00331621,-0.001645438,0.001645438,-0.0005230725,0.0005230725,1.159529e-5,-1.159529e-5,0.0001691285,-0.0001691285,0.0001545518,-0.0001545518,9.210244e-5,-9.210244e-5,3.219361e-5,-3.219361e-5,-1.875606e-5,1.875606e-5
9,1.0,NaN,NaN,NaN,269.2746,-269.2746,699.5777,-699.5777,1054.039,-1054.039,761.6241,-761.6241,386.2157,-386.2157,127.895,-127.895,2.260038,-2.260038,-36.18261,36.18261,-34.00577,34.00577,-20.49907,20.49907,-8.708653,8.708653,-1.888934,1.888934,0.8655179,-0.8655179,1.362414,-1.362414,0.9960359,-0.9960359,0.5098862,-0.5098862,0.1716918,-0.1716918,0.00562406,-0.00562406,-0.04615758,0.04615758,-0.04417994,0.04417994,-0.0269219,0.0269219,-0.011759,0.011759,-0.003207087,0.003207087,-0.0001650818,0.0001650818,8.414832,-8.414832,5.03214,-5.03214,-2.370045,2.370045,-20.21491,20.21491,-2.593533,2.593533,3.65899,-3.65899,4.146428,-4.146428,2.724761,-2.724761,1.269359,-1.269359,0.3540584,-0.3540584,-0.05363394,0.05363394,-0.1553343,0.1553343,-0.1270396,0.1270396,-0.07054862,0.07054862,-0.0269773,0.0269773,-0.003742874,0.003742874,0.004623605,-0.004623605,0.005378955,-0.005378955,0.003571442,-0.003571442,0.001679978,-0.001679978,0.0004775126,-0.0004775126,-6.547336e-5,6.547336e-5,-0.000206593,0.000206593,-0.0001721847,0.0001721847,-8.990387e-5,8.990387e-5,-5.158806e-6,5.158806e-6
10,NaN,1.0,NaN,NaN,-269.2746,269.2746,-699.5777,699.5777,-1054.039,1054.039,-761.6241,761.6241,-386.2157,386.2157,-127.895,127.895,-2.260038,2.260038,36.18261,-36.18261,34.00577,-34.00577,20.49907,-20.49907,8.708653,-8.708653,1.888934,-1.888934,-0.8655179,0.8655179,-1.362414,1.362414,-0.9960359,0.9960359,-0.5098862,0.5098862,-0.1716918,0.1716918,-0.00562406,0.00562406,0.04615758,-0.04615758,0.04417994,-0.04417994,0.0269219,-0.0269219,0.011759,-0.011759,0.003207087,-0.003207087,0.0001650818,-0.0001650818,-8.414832,8.414832,-5.03214,5.03214,2.370045,-2.370045,20.21491,-20.21491,2.593533,-2.593533,-3.65899,3.65899,-4.146428,4.146428,-2.724761,2.724761,-1.269359,1.269359,-0.3540584,0.3540584,0.05363394,-0.05363394,0.1553343,-0.1553343,0.1270396,-0.1270396,0.07054862,-0.07054862,0.0269773,-0.0269773,0.003742874,-0.003742874,-0.004623605,0.004623605,-0.005378955,0.005378955,-0.003571442,0.003571442,-0.001679978,0.001679978,-0.0004775126,0.0004775126,6.547336e-5,-6.547336e-5,0.000206593,-0.000206593,0.0001721847,-0.0001721847,8.990387e-5,-8.990387e-5,5.158806e-6,-5.158806e-6
11,1.0,NaN,NaN,NaN,112.949,-112.949,373.3176,-373.3176,761.6241,-761.6241,1080.065,-1080.065,767.0343,-767.0343,383.4128,-383.4128,123.6944,-123.6944,-0.7707321,0.7707321,-37.71764,37.71764,-34.51301,34.51301,-20.50705,20.50705,-8.564243,8.564243,-1.753524,1.753524,0.947045,-0.947045,1.396999,-1.396999,1.003502,-1.003502,0.5064156,-0.5064156,0.1662599,-0.1662599,0.001657849,-0.001657849,-0.048185,0.048185,-0.04485494,0.04485494,-0.0269219,0.0269219,-0.01153002,0.01153002,-0.002963751,0.002963751,3.529657,-3.529657,4.60686,-4.60686,3.99806,-3.99806,-2.183294,2.183294,-19.7335,19.7335,-2.205958,2.205958,3.871975,-3.871975,4.226661,-4.226661,2.734946,-2.734946,1.254736,-1.254736,0.3375413,-0.3375413,-0.06447365,0.06447365,-0.1603776,0.1603776,-0.1284422,0.1284422,-0.0703317,0.0703317,-0.02635786,0.02635786,-0.003237182,0.003237182,0.004904097,-0.004904097,0.005486051,-0.005486051,0.003586226,-0.003586226,0.001661653,-0.001661653,0.0004563434,-0.0004563434,-7.941148e-5,7.941148e-5,-0.0002133001,0.0002133001,-0.0001750788,0.0001750788,-9.261722e-5,9.261722e-5
12,NaN,1.0,NaN,NaN,-112.949,112.949,-373.3176,373.3176,-761.6241,761.6241,-1080.065,1080.065,-767.0343,767.0343,-383.4128,383.4128,-123.6944,123.6944,0.7707321,-0.7707321,37.71764,-37.71764,34.51301,-34.51301,20.50705,-20.50705,8.564243,-8.564243,1.753524,-1.753524,-0.947045,0.947045,-1.396999,1.396999,-1.003502,1.003502,-0.5064156,0.5064156,-0.1662599,0.1662599,-0.001657849,0.001657849,0.048185,-0.048185,0.04485494,-0.04485494,0.0269219,-0.0269219,0.01153002,-0.01153002,0.002963751,-0.002963751,-3.529657,3.529657,-4.60686,4.60686,-3.99806,3.99806,2.183294,-2.183294,19.7335,-19.7335,2.205958,-2.205958,-3.871975,3.871975,-4.226661,4.226661,-2.734946,2.734946,-1.254736,1.254736,-0.3375413,0.3375413,0.06447365,-0.06447365,0.1603776,-0.1603776,0.1284422,-0.1284422,0.0703317,-0.0703317,0.02635786,-0.02635786,0.003237182,-0.003237182,-0.004904097,0.004904097,-0.005486051,0.005486051,-0.003586226,0.003586226,-0.001661653,0.001661653,-0.0004563434,0.0004563434,7.941148e-5,-7.941148e-5,0.0002133001,-0.0002133001,0.0001750788,-0.0001750788,9.261722e-5,-9.261722e-5
13,1.0,NaN,NaN,NaN,23.4797,-23.4797,134.5774,-134.5774,386.2157,-386.2157,767.0343,-767.0343,1081.19,-1081.19,766.4516,-766.4516,382.5396,-382.5396,123.0644,-123.0644,-1.089833,1.089833,-37.82309,37.82309,-34.51466,34.51466,-20.47702,20.47702,-8.53609,8.53609,-1.736572,1.736572,0.9542344,-0.9542344,1.398538,-1.398538,1.002741,-1.002741,0.5052078,-0.5052078,0.1653265,-0.1653265,0.001163695,-0.001163695,-0.048185,0.048185,-0.04417994,0.04417994,-0.02526507,0.02526507,-0.008780991,0.008780991,0.7337407,-0.7337407,2.738061,-2.738061,4.391897,-4.391897,4.036882,-4.036882,-2.08322,2.08322,-19.65293,19.65293,-2.161683,2.161683,3.888653,-3.888653,4.228778,-4.228778,2.731906,-2.731906,1.251302,-1.251302,0.335288,-0.335288,-0.06552205,0.06552205,-0.1606692,0.1606692,-0.1283972,0.1283972,-0.07020321,0.07020321,-0.02625316,0.02625316,-0.003179253,0.003179253,0.004926624,-0.004926624,0.005491206,-0.005491206,0.00358794,-0.00358794,0.001667305,-0.001667305,0.0004659317,-0.0004659317,-7.59622e-5,7.59622e-5,-0.0002407215,0.0002407215,-0.000274406,0.000274406
14,NaN,1.0,NaN,NaN,-23.4797,23.4797,-134.5774,134.5774,-386.2157,386.2157,-767.0343,767.0343,-1081.19,1081.19,-766.4516,766.4516,-382.5396,382.5396,-123.0644,123.0644,1.089833,-1.089833,37.82309,-37.82309,34.51466,-34.51466,20.47702,-20.47702,8.53609,-8.53609,1.736572,-1.736572,-0.9542344,0.9542344,-1.398538,1.398538,-1.002741,1.002741,-0.5052078,0.5052078,-0.1653265,0.1653265,-0.001163695,0.001163695,0.048185,-0.048185,0.04417994,-0.04417994,0.02526507,-0.02526507,0.008780991,-0.008780991,-0.7337407,0.7337407,-2.738061,2.738061,-4.391897,4.391897,-4.036882,4.036882,2.08322,-2.08322,19.65293,-19.65293,2.161683,-2.161683,-3.888653,3.888653,-4.228778,4.228778,-2.731906,2.731906,-1.251302,1.251302,-0.335288,0.335288,0.06552205,-0.06552205,0.1606692,-0.1606692,0.1283972,-0.1283972,0.07020321,-0.07020321,0.02625316,-0.02625316,0.003179253,-0.003179253,-0.004926624,0.004926624,-0.005491206,0.005491206,-0.00358794,0.00358794,-0.001667305,0.001667305,-0.0004659317,0.0004659317,7.59622e-5,-7.59622e-5,0.0002407215,-0.0002407215,0.000274406,-0.000274406
