index,value
5,-5.397342
6,5.397342
7,-11.32351
8,11.32351
9,-14.17165
10,14.17165
11,-13.29401
12,13.29401
13,-9.872339
14,9.872339
15,-5.059785
16,5.059785
17,-2.33748
18,2.33748
19,-3.771859
20,3.771859
21,-8.500286
22,8.500286
23,-12.48805
24,12.48805
25,-9.479707
26,9.479707
27,4.762565
28,-4.762565
29,31.53471
30,-31.53471
31,65.20679
32,-65.20679
33,93.65473
34,-93.65473
35,98.50646
36,-98.50646
37,56.13922
38,-56.13922
39,-53.17358
40,53.17358
41,-216.8222
42,216.8222
43,-354.8733
44,354.8733
45,-271.7954
46,271.7954
47,-151.7318
48,151.7318
49,-63.95777
50,63.95777
51,-16.89705
52,16.89705
53,2.525588
54,-2.525588
55,1.667181
56,-1.667181
57,0.8893419
58,-0.8893419
59,0.2805297
60,-0.2805297
61,-0.1167406
62,0.1167406
63,-0.3155698
64,0.3155698
65,-0.3670334
66,0.3670334
67,-0.3429691
68,0.3429691
69,-0.284013
70,0.284013
71,-0.1687538
72,0.1687538
73,0.07339003
74,-0.07339003
75,0.5019444
76,-0.5019444
77,1.072004
78,-1.072004
79,1.570971
80,-1.570971
81,1.599217
82,-1.599217
83,0.6541131
84,-0.6541131
85,-1.688985
86,1.688985
87,-5.502501
88,5.502501
89,-10.15401
90,10.15401
91,-14.0118
92,14.0118
93,-14.63305
94,14.63305
95,-9.957071
96,9.957071
97,-1.22397
98,1.22397
99,9.774049
100,-9.774049
101,21.72677
102,-21.72677
103,33.93172
104,-33.93172
