index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
(1,),0.0,1.0,1.0,5.0,2.0,3.0,5.0,8.0,5.0,13.0,5.0,2.0,5.0,3.0,5.0,5.0,4.0,1.0,3.0,3.0,1.0,4.0,3.0,1.0
(2,),,0.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,6.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
(3,),,,0.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
(4,),,,,0.0,5.0,4.0,4.0,7.0,7.0,12.0,14.0,6.0,6.0,5.0,5.0,8.0,5.0,1.0,2.0,3.0,2.0,4.0,5.0,2.0
(5,),,,,,0.0,2.0,2.0,5.0,8.0,10.0,5.0,2.0,2.0,1.0,2.0,5.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0
(6,),,,,,,0.0,4.0,8.0,4.0,8.0,4.0,2.0,2.0,1.0,2.0,9.0,5.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0
(7,),,,,,,,0.0,10.0,6.0,19.0,5.0,7.0,4.0,2.0,5.0,14.0,10.0,2.0,4.0,5.0,2.0,5.0,2.0,1.0
(8,),,,,,,,,0.0,8.0,16.0,8.0,6.0,6.0,4.0,6.0,22.0,14.0,3.0,7.0,9.0,4.0,5.0,3.0,2.0
(9,),,,,,,,,,0.0,28.0,14.0,6.0,6.0,6.0,9.0,14.0,9.0,2.0,4.0,6.0,3.0,7.0,5.0,2.0
(10,),,,,,,,,,,0.0,40.0,20.0,19.0,21.0,40.0,44.0,39.0,7.0,18.0,25.0,12.0,26.0,18.0,8.0
(11,),,,,,,,,,,,0.0,14.0,10.0,16.0,14.0,14.0,10.0,1.0,4.0,6.0,4.0,11.0,13.0,6.0
(12,),,,,,,,,,,,,0.0,13.0,7.0,7.0,7.0,6.0,2.0,3.0,4.0,3.0,7.0,7.0,5.0
(13,),,,,,,,,,,,,,0.0,6.0,7.0,6.0,5.0,1.0,3.0,6.0,6.0,13.0,8.0,8.0
(14,),,,,,,,,,,,,,,0.0,13.0,7.0,7.0,1.0,3.0,5.0,4.0,12.0,11.0,4.0
(15,),,,,,,,,,,,,,,,0.0,12.0,15.0,2.0,8.0,11.0,8.0,26.0,10.0,4.0
(16,),,,,,,,,,,,,,,,,0.0,28.0,5.0,13.0,16.0,6.0,12.0,5.0,3.0
(17,),,,,,,,,,,,,,,,,,0.0,6.0,17.0,17.0,6.0,17.0,6.0,3.0
(18,),,,,,,,,,,,,,,,,,,0.0,3.0,4.0,1.0,3.0,1.0,0.0
(19,),,,,,,,,,,,,,,,,,,,0.0,12.0,4.0,12.0,3.0,1.0
(20,),,,,,,,,,,,,,,,,,,,,0.0,12.0,24.0,7.0,4.0
(21,),,,,,,,,,,,,,,,,,,,,,0.0,18.0,7.0,5.0
(22,),,,,,,,,,,,,,,,,,,,,,,0.0,21.0,11.0
(23,),,,,,,,,,,,,,,,,,,,,,,,0.0,7.0
(24,),,,,,,,,,,,,,,,,,,,,,,,,0.0
